Artist ID,Artist Name,Artist Popularity,Artist genre
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,68,"['alt z', 'nz pop', 'pop']"
1g1yxsNVPhMUl9GrMjEb2o,Plain White T's,64,"['neo mellow', 'pop punk', 'pop rock']"
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,70,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,63,['tropical house']
4qIVPF0s71ZYW3qzhu5GkF,Kina,69,['sad lo-fi']
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,66,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,78,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,68,"['alt z', 'canadian contemporary r&b', 'neo mellow', 'pop', 'uk pop']"
7KMqksf0UMdyA0UCf4R3ux,James Blunt,70,"['neo mellow', 'pop', 'pop rock']"
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,76,['neo mellow']
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,73,"['alternative pop rock', 'pop']"
1KP6TWI40m7p3QBTU6u2xo,B��RNS,68,"['modern rock', 'pop']"
07QEuhtrNmmZ0zEcqE9SF6,Owl City,69,"['indietronica', 'pop', 'pop rock']"
6U1dBXJhC8gXFjamvFTmHg,Zac Efron,69,"['hollywood', 'post-teen pop', 'show tunes']"
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,83,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']"
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,64,['tropical house']
7oPftvlwr6VrsViSDV7fJY,Green Day,80,"['permanent wave', 'punk']"
51Blml2LZPmy7TTiAg47vQ,U2,77,"['irish rock', 'permanent wave', 'rock']"
