Album ID,Album Name
3mNoFlD1wsoXfkljfFzExT,TALKING IS HARD
7lPoGKpCGgdKFAxpudhAH5,Speak Your Mind (Deluxe)
7xV2TzoaVc0ycW7fwBwAml,Fine Line
3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project
1KOmHyNLuOe5YrPhD3Juuf,Perception
23Y5wdyP5byMFktZf8AcWU,I AM...SASHA FIERCE
4xnq1L6P551Qcb9gBXNMK7,"""Awaken, My Love!"""
1C2h7mLntPSeVYciMRTF4a,Thriller 25 Super Deluxe Edition
5aprcHwM1KJhaY9Kbxkfkn,Nothing but the Beat 2.0
1azUkThwd2HfUDdeNeT147,21
1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low
1c79SozES9Eb3Lzf9KVaIa,In My Mind
6kf46HbnYCZzP6rjvQHYzg,American Teen
3OZgEywV4krCZ814pTJWr7,Dangerous Woman
1HiN2YXZcc3EjmVZ4WjfBk,Everybody
6t5D6LEgHxqUVOxJItkzfb,All Your Fault: Pt. 2
15yvc643iYfQtb6zh9NEJo,A Thousand Years
4yP0hdKOZPNshxUOjY0cZj,After Hours
1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition)
1FOJ5IXGXe8dl0cXvCU6wK,In the Name of Love
0xc5IpJM39eEEYSKDrm5kf,Hot Space (Deluxe Remastered Version)
2Ti79nwTsont5ZHfdxIzAm,?
61ulfFSmmxMhc2wCdmdMkN,Merry Christmas
5x7JzoE4A3DwwU6FPt8qws,Overexposed
0h2knr6qpiAq0tV5ri5JMF,The Days / Nights
6hHIX3lfGKnZ2ji41YZMVV,Legendary
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends
19O3rXe4nDu9YDcc2tOQVn,ANTI (Deluxe)
7KBjLhk3IM27k3ry4vBk3i,Unorthodox Jukebox
64fQ94AVziavTPdnkCS6Nj,Bad Blood
1lXY618HWkwYKJWBRYR4MK,More Life
3tx8gQqWbGwqIGZHqDNrGe,Sweetener
3HhZbSJdhOqMSaRbEt3gtw,Grateful
4i3rAwPw7Ln2YrKDusaWyT,everything i wanted
5gQZvWM1o8NkQndueJtZcP,Wolves
4PgleR09JVnm3zY1fW3XBA,24K Magic
1Uf67JAtkVWfdydzFFqNF2,Happiness Begins
6D9urpsOWWKtYvF6PaorGE,Elephant
2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster)
1otwHKoQ5KPaiekpYk4tWh,Con Calma
5YLRVHDVRw3QqWbeTGpC5B,So Good
2qJw6w5XwQO0PQlSWPu7Tw,Chosen
40GMAhriYJRO1rsY4YdrZb,Views
06S3Qjh4QWLtn6c7CVhYh7,Callaita
7wHczdY0ek3FHnfVhk10om,The Lockdown Sessions
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe)
2FW0uQ4WL25umm5p2VrZO7,"The Best Of Earth, Wind & Fire Vol. 1"
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe)
1FZKIm3JVDCxTchXDo5jOV,Harry Styles
48zisMeiXniWLzOQghbPqS,Motion
5VdyJkLe3yvOs0l4xXbWp0,17
3cyyJALrHc8LawnQNFYRWL,Look At Me!
6jKZplJpy21R5lHaYHHjmZ,Narrated For You
4Gfnly5CzMJQqkUFfoHaP3,Meteora
3rDbA12I5duZnlwakqDdZa,Know-It-All (Deluxe)
79dL7FLiJFOO0EoehUHQBv,Currents
0p0W4RXcnc59jgatcdZozO,MIA (feat. Drake)
09Q3WwGYsQe5ognkvVkmCu,When It's Dark Out
3yoNZlqerJnsnMN5EDwwBS,Strange Trails
5amj9zNeZ3B2EdpBgXrOZ0,Mind Of Mine (Deluxe Edition)
6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance
6mUdeDZCsExyJLMdAfDuwh,Back In Black
4zOhjJfe0dwqsNdDYk622E,Ride It
1tXHmyPSfn6gJHkAifLGDj,"Happy (From ""Despicable Me 2"")"
1CwXS6MAz8Wo7K4TzW9iuR,"Save Me, San Francisco (Golden Gate Edition)"
3T4tUhGYeRNVUGevb0wThu,�� (Deluxe)
2ogiazbrNEx0kQHGl5ZBTQ,WAP (feat. Megan Thee Stallion)
3Q149ZH46Z0f3oDR7vlDYV,ANTI
